date,open,high,low,close,volume
2014-12-09,35.2,37.05,35.05,36.77,1603905
2014-12-10,36.8,37.07,36.19,36.7,1367765
2014-12-11,37.0,37.68,36.46,36.9,1122375
2014-12-12,36.7,37.69,36.5,37.315,1149379
2014-12-15,37.47,37.98,37.0155,37.22,1251325
2014-12-16,37.05,37.8,36.76,37.23,1480343
2014-12-17,37.46,37.8,37.23,37.52,1140418
2014-12-18,37.8,38.54,37.555,38.28,1690660
2014-12-19,38.43,39.0,38.2,38.82,1429298
2014-12-22,38.79,39.3,38.24,38.77,1097553
2014-12-23,38.78,38.89,38.44,38.64,644368
2014-12-24,38.42,38.57,37.81,37.89,870031
2014-12-26,37.94,39.25,37.9224,38.61,643697
2014-12-29,38.57,38.72,37.68,37.81,680294
2014-12-30,37.57,37.66,36.99,37.51,753128
2014-12-31,37.67,37.83,37.26,37.41,559290
2015-01-02,37.78,38.17,37.13,37.81,670902
2015-01-05,37.53,38.16,37.08,37.52,761419
2015-01-06,37.43,37.43,36.5075,37.08,995249
2015-01-07,36.55,37.026,35.51,35.66,2147401
2015-01-08,35.66,36.62,35.42,36.32,1011007
2015-01-09,36.32,36.9299,36.22,36.27,1063123
2015-01-12,36.11,36.3075,35.61,36.04,946577
2015-01-13,36.1,36.47,35.51,35.785,607280
2015-01-14,35.49,35.94,34.887,35.73,904512
2015-01-15,35.85,36.11,34.89,35.16,1149101
2015-01-16,35.16,36.18,35.16,35.69,1191857
2015-01-20,35.69,36.595,35.665,36.29,917305
2015-01-21,36.0,37.5,36.0,36.8,988371
2015-01-22,36.91,37.38,36.68,36.94,854485
2015-01-23,37.09,37.5,36.78,36.97,391892
2015-01-26,36.95,37.48,36.76,37.07,353452
2015-01-27,36.55,37.35,36.48,36.95,536341
2015-01-28,37.1,37.1428,36.21,36.63,705413
2015-01-29,36.29,36.49,35.95,36.24,568753
2015-01-30,36.06,36.58,36.02,36.22,653600
2015-02-02,36.23,36.75,36.0,36.3,887751
2015-02-03,36.65,37.75,36.27,37.02,895655
2015-02-04,36.99,37.79,36.99,37.545,743428
2015-02-05,37.51,37.69,37.02,37.27,475124
2015-02-06,37.08,37.27,36.49,37.015,727881
2015-02-09,36.69,37.3,36.69,36.85,877244
2015-02-10,37.1,37.2,36.7,36.8,417451
2015-02-11,36.74,37.73,36.61,37.15,964790
2015-02-12,37.18,38.22,37.15,37.78,837737
2015-02-13,38.16,38.76,38.06,38.37,1000017
2015-02-17,38.13,38.64,38.01,38.23,516990
2015-02-18,38.19,38.6,37.91,38.12,520289
2015-02-19,38.18,38.439,38.07,38.34,505376
2015-02-20,38.27,38.2905,37.59,37.83,477824
2015-02-23,37.76,37.9999,36.86,37.39,813010
2015-02-24,37.39,37.81,37.26,37.75,420354
2015-02-25,38.18,38.18,37.52,37.67,465710
2015-02-26,37.52,37.64,37.21,37.39,694161
2015-02-27,37.1,37.7099,37.0,37.12,537540
2015-03-02,37.0,37.39,36.14,36.75,993944
2015-03-03,36.5,37.34,36.5,36.76,643355
2015-03-04,36.68,37.3,36.33,36.81,873270
2015-03-05,36.81,37.63,36.4801,37.24,621356
2015-03-06,37.33,37.58,36.73,36.91,690832
2015-03-09,37.07,37.13,36.13,36.5,807669
2015-03-10,36.09,36.49,35.77,36.2,900132
2015-03-11,36.04,36.75,34.27,34.98,2679958
2015-03-12,35.0,35.0,33.46,33.5,2349747
2015-03-13,33.55,34.27,33.15,33.33,1441640
2015-03-16,33.33,33.53,32.37,32.455,2957943
2015-03-17,32.45,33.12,32.35,32.76,1069014
2015-03-18,33.0,33.44,32.95,33.15,1520364
2015-03-19,32.97,33.3,32.695,32.76,2090380
2015-03-20,32.78,33.16,32.76,32.93,1055968
2015-03-23,32.66,33.27,32.52,33.12,1936103
2015-03-24,33.17,33.98,33.17,33.2,1154158
2015-03-25,33.19,33.46,32.52,32.75,1578381
2015-03-26,32.6,32.65,32.1272,32.25,1542655
2015-03-27,32.3,32.74,32.25,32.45,993989
2015-03-30,32.73,32.87,32.08,32.33,798021
2015-03-31,32.23,32.5,32.12,32.16,585596
2015-04-01,32.4,32.84,32.15,32.23,973186
2015-04-02,31.93,32.88,31.92,32.67,951307
2015-04-06,31.93,32.73,31.93,32.57,864793
2015-04-07,32.67,33.65,32.48,33.09,853789
2015-04-08,33.49,37.44,33.49,36.89,6072183
2015-04-09,37.5,38.2,36.98,38.01,3367269
2015-04-10,37.65,37.771,37.16,37.51,1307058
2015-04-13,36.39,36.39,34.75,35.38,3915212
2015-04-14,35.12,35.5,34.9,35.46,1018523
2015-04-15,35.13,37.07,35.13,36.73,2015441
2015-04-16,36.68,36.85,36.3,36.415,1003297
2015-04-17,36.14,36.26,35.53,35.975,828176
2015-04-20,36.01,36.64,35.67,35.92,578394
2015-04-21,35.96,36.59,35.68,36.21,648296
2015-04-22,36.14,37.48,36.03,37.19,1169345
2015-04-23,37.2,37.93,37.13,37.35,818970
2015-04-24,37.84,38.88,37.54,38.54,1751074
2015-04-27,38.8,40.83,38.8,40.03,2961893
2015-04-28,40.0,40.89,38.9,40.22,2061108
2015-04-29,39.4,42.31,39.3236,42.11,2760505
2015-04-30,41.73,44.38,41.53,43.995,5115667
2015-05-01,43.97,44.38,42.46,43.43,1257056
2015-05-04,43.32,44.98,43.05,44.7,2111105
2015-05-05,43.43,44.86,43.38,44.02,1437856
2015-05-06,44.0,44.21,43.0,43.4,997549
2015-05-07,42.88,43.45,42.08,43.1,1257462
2015-05-08,43.52,43.89,43.07,43.39,1298861
2015-05-11,43.66,44.875,43.66,43.88,1334502
2015-05-12,43.14,43.52,42.61,42.95,1225693
2015-05-13,43.06,43.63,42.8,43.17,697283
2015-05-14,42.42,43.57,42.09,42.71,1843128
2015-05-15,42.83,43.8,41.11,43.46,2451462
2015-05-18,43.5,43.5,41.5,41.88,1897129
2015-05-19,41.95,42.64,41.46,41.66,1166479
2015-05-20,41.86,42.3,41.42,42.11,786595
2015-05-21,42.22,43.05,42.02,42.63,920638
2015-05-22,42.73,44.26,42.73,43.7,1665802
2015-05-26,43.62,43.95,42.59,42.79,970737
2015-05-27,42.95,42.95,41.38,41.89,1379376
2015-05-28,41.23,41.57,40.44,41.42,1310147
2015-05-29,41.08,41.9,40.7,40.73,874213
2015-06-01,44.31,51.0,44.18,50.21,13073782
2015-06-02,49.39,51.74,48.77,50.61,3890875
2015-06-03,50.42,54.09,50.201,52.57,4697621
2015-06-04,52.3,52.93,51.61,52.41,1711848
2015-06-05,52.84,56.99,52.51,56.08,5151850
2015-06-08,55.58,57.87,55.58,57.06,3587105
2015-06-09,56.79,57.06,55.64,56.58,2099933
2015-06-10,56.5,58.84,56.27,57.45,2752154
2015-06-11,57.39,59.42,57.21,58.44,2851107
2015-06-12,58.42,60.94,58.2,60.74,3632453
2015-06-15,59.99,60.94,58.96,59.5,2103811
2015-06-16,58.98,59.44,57.13,57.84,2351586
2015-06-17,59.5,61.25,59.4,60.03,2585288
2015-06-18,59.52,60.0,58.94,59.21,1461717
2015-06-19,59.4,59.4,57.32,58.25,1907144
2015-06-22,58.42,59.14,57.6,58.3,939977
2015-06-23,58.49,58.73,57.71,58.46,670839
2015-06-24,58.02,58.35,56.9,57.01,1049927
2015-06-25,57.0,57.01,56.04,56.48,1037911
2015-06-26,55.0,55.1,53.235,54.06,1908281
2015-06-29,52.61,54.49,52.12,53.28,1257813
2015-06-30,54.12,54.9,53.54,53.565,942358
2015-07-01,53.65,53.65,51.55,51.84,1176033
2015-07-02,52.18,52.95,51.9301,52.57,893228
2015-07-06,50.33,50.6,46.36,46.68,3818182
2015-07-07,45.47,45.47,42.3,44.52,4693879
2015-07-08,41.94,45.02,41.9,43.3,3273664
2015-07-09,47.2,49.9,46.8,47.82,6021971
2015-07-10,48.66,48.787,45.25,45.79,3125632
2015-07-13,45.97,46.46,44.68,45.36,1604860
2015-07-14,44.98,46.72,44.73,45.08,1646751
2015-07-15,44.0,44.34,41.98,42.22,2915990
2015-07-16,43.0,43.235,42.1,42.38,2800658
2015-07-17,43.3,43.7,42.51,42.91,1651827
2015-07-20,42.9,43.15,41.657,41.88,1264678
2015-07-21,41.8,43.65,41.32,42.82,1314376
2015-07-22,42.6,42.84,41.81,42.48,823557
2015-07-23,42.83,45.04,42.78,44.18,2271880
2015-07-24,44.16,44.2999,42.0,42.51,2150285
2015-07-27,40.06,41.7,39.52,40.2,2102624
2015-07-28,40.1,40.56,39.08,40.46,1342397
2015-07-29,40.63,41.38,39.81,41.18,1233265
2015-07-30,41.0,41.25,40.02,40.62,659262
2015-07-31,40.59,40.8,40.11,40.61,692232
2015-08-03,40.47,40.49,38.85,38.95,1110589
2015-08-04,39.69,40.54,39.35,40.07,761808
2015-08-05,40.42,41.53,40.402,40.79,1362563
2015-08-06,40.96,41.59,40.87,40.95,1015097
2015-08-07,41.0,41.87,40.29,40.41,789197
2015-08-10,40.86,42.773,40.86,42.29,1464083
2015-08-11,41.99,41.99,39.1,39.77,1608543
2015-08-12,39.08,39.43,38.0652,39.29,1842756
2015-08-13,39.76,39.76,38.65,39.07,880603
2015-08-14,39.52,40.225,39.2,39.75,719747
2015-08-17,39.61,40.14,39.14,40.03,1008610
2015-08-18,39.36,39.53,38.34,38.92,1631083
2015-08-19,39.25,40.3,37.55,39.56,2192029
2015-08-20,39.17,39.32,35.55,36.01,2369365
2015-08-21,35.51,37.07,35.11,36.24,1493150
2015-08-24,33.47,35.43,32.61,33.81,2491143
2015-08-25,36.01,37.45,35.11,35.11,1791797
2015-08-26,35.95,36.34,34.93,36.22,1332441
2015-08-27,36.82,39.6,36.79,39.16,2019207
2015-08-28,38.96,39.5,38.3,38.74,1034578
2015-08-31,38.35,39.97,37.63,38.75,1353348
2015-09-01,37.58,38.62,37.5117,38.1,1068860
2015-09-02,38.75,38.8,37.2,37.89,683331
2015-09-03,37.94,38.52,37.21,38.05,768256
2015-09-04,37.0,37.8,36.18,36.46,1193239
2015-09-08,37.21,39.02,36.79,37.79,1597644
2015-09-09,38.38,39.0,37.11,38.03,1415665
2015-09-10,38.18,38.35,37.13,37.45,645652
2015-09-11,37.11,37.98,36.35,37.91,763119
2015-09-14,37.72,37.81,36.8,37.25,625757
2015-09-15,37.19,38.03,36.93,37.6,579314
2015-09-16,37.85,40.44,37.85,40.18,1681123
2015-09-17,39.73,40.17,39.21,39.66,853341
2015-09-18,39.01,40.435,38.922,39.8,1116925
2015-09-21,39.99,40.0,38.96,39.11,598855
2015-09-22,38.61,38.89,37.61,38.03,737636
2015-09-23,38.01,38.1,36.93,37.24,707099
2015-09-24,36.99,38.04,36.22,37.78,659278
2015-09-25,38.28,38.71,37.31,37.7,525420
2015-09-28,37.39,37.86,36.21,36.65,657500
2015-09-29,36.66,37.77,36.29,36.98,440920
2015-09-30,37.77,40.35,37.25,40.12,1233871
2015-10-01,40.12,40.78,39.73,40.32,685473
2015-10-02,39.98,42.66,39.6801,42.64,1124059
2015-10-05,43.0,44.3,42.5225,43.42,953078
